trialCode,trialAcronym,trialTitle,trialUrl,trialPhase,trialStatus,trialCompletionDate
NCT00003995,,Monoclonal Antibody Plus Chemotherapy in Treating Patients With Advanced Colorectal Cancer That Overexpresses HER2,https://www.clinicaltrials.gov/ct2/show/NCT00003995,Phase 2,Completed,
NCT00004141,,Combination Chemotherapy Plus Biological Therapy in Treating Patients With Metastatic Melanoma,https://www.clinicaltrials.gov/ct2/show/NCT00004141,Phase 2,Completed,4/1/2006
NCT00004409,,Phase II Randomized Study of Collagenase in Patients With Residual Type Dupuytren's Disease,https://www.clinicaltrials.gov/ct2/show/NCT00004409,Phase 2,Completed,4/1/2004
NCT00004437,,Phase II Study of the Multichannel Auditory Brain Stem Implant for Deafness Following Surgery for Neurofibromatosis 2,https://www.clinicaltrials.gov/ct2/show/NCT00004437,Phase 2,Completed,10/1/2000
NCT00004694,,Study of Heparin Prophylaxis of Hereditary Angioedema Exacerbations,https://www.clinicaltrials.gov/ct2/show/NCT00004694,Not Applicable,Completed,9/1/1998
NCT00004760,,Study of Axial Mobility Exercises in Parkinson Disease,https://www.clinicaltrials.gov/ct2/show/NCT00004760,Not Applicable,Completed,12/1/1997
NCT00005428,,Familial Aggregation of Stress Response,https://www.clinicaltrials.gov/ct2/show/NCT00005428,,Completed,7/1/1995
NCT00005435,,Hostility and Pathogenic Mechanisms of Coronary Heart Disease in Women,https://www.clinicaltrials.gov/ct2/show/NCT00005435,,Completed,6/1/1997
NCT00005756,,Epidemiology of Coronary Calcification in the Elderly,https://www.clinicaltrials.gov/ct2/show/NCT00005756,,Completed,7/1/2007
NCT00005971,,Flavopiridol in Treating Patients With Metastatic Malignant Melanoma,https://www.clinicaltrials.gov/ct2/show/NCT00005971,Phase 2,Completed,12/21/2009
NCT00005973,,BMS-214662 in Treating Patients With Solid Tumors,https://www.clinicaltrials.gov/ct2/show/NCT00005973,Phase 1,Completed,
NCT00006126,,"Peripheral Stem Cell Transplantation in Treating Patients With Melanoma or Small Cell Lung, Breast, Testicular, or Kidney Cancer That is Metastatic or That Cannot Be Treated With Surgery",https://www.clinicaltrials.gov/ct2/show/NCT00006126,Phase 1,Withdrawn,4/1/2001
NCT00006220,,Arsenic Trioxide With or Without Tretinoin in Treating Patients With Hematologic Cancer That Has Not Responded to Previous Therapy,https://www.clinicaltrials.gov/ct2/show/NCT00006220,Phase 1|Phase 2,Terminated,2/1/2002
NCT00006227,,Paclitaxel in Treating Patients With Ovarian Stromal Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00006227,Phase 2,Completed,7/16/2016
NCT00010491,,Acupuncture and Moxa: A Randomized Clinical Trial for Chronic Diarrhea in HIV Patients,https://www.clinicaltrials.gov/ct2/show/NCT00010491,Phase 2,Completed,8/1/2003
NCT00020098,,Complementary or Alternative Medicine Practices Used by Women at Increased Risk for Breast Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00020098,Not Applicable,Completed,9/1/2001
NCT00022555,,Bryostatin 1 Plus Vincristine in Treating Patients With Recurrent or Refractory HIV-Related Lymphoma,https://www.clinicaltrials.gov/ct2/show/NCT00022555,Phase 1,Completed,
NCT00023842,,BCG With or Without Mitomycin in Treating Patients With Bladder Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00023842,Phase 2,Completed,
NCT00030758,,Filgrastim or Pegfilgrastim in Preventing Neutropenia in Women Receiving Chemotherapy Following Surgery for Breast Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00030758,Phase 4,Unknown status,
NCT00035412,,St. John's Wort Versus Placebo in Social Phobia,https://www.clinicaltrials.gov/ct2/show/NCT00035412,Phase 2,Completed,8/1/2004
NCT00042835,,Erlotinib and Radiation Therapy Plus Combination Chemotherapy in Treating Patients With Inoperable Stage III Non-Small Cell Lung Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00042835,Phase 1,Terminated,
NCT00050570,,Reducing Eating Disorder Risk Factors,https://www.clinicaltrials.gov/ct2/show/NCT00050570,Not Applicable,Completed,4/30/2012
NCT00052000,,A Trial of MLN2704 in Subjects With Metastatic Androgen Independent Prostate Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00052000,Phase 1,Completed,
NCT00056199,,EYE001 to Treat Retinal Tumors in Patients With Von Hippel-Lindau Syndrome,https://www.clinicaltrials.gov/ct2/show/NCT00056199,Phase 1,Completed,11/1/2005
NCT00058539,,Safety and Efficacy Study of Pertuzumab to Treat Castration-Resistant Prostate Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00058539,Phase 2,Completed,10/1/2004
NCT00061438,,A Study to Determine if Antibiotics Prevent Infection in the Pancreas of Patients Where Part of the Pancreas Has Died,https://www.clinicaltrials.gov/ct2/show/NCT00061438,Phase 4,Completed,12/1/2004
NCT00061503,,Mechanism of Action of TRAVATAN 0.004% in Subjects With Glaucoma or Ocular Hypertension,https://www.clinicaltrials.gov/ct2/show/NCT00061503,Phase 4,Completed,3/1/2004
NCT00064675,,Genetics of Cardiovascular Reactivity in Black Youth,https://www.clinicaltrials.gov/ct2/show/NCT00064675,,Completed,6/1/2008
NCT00065611,,Steroid Treatment for Kidney Disease,https://www.clinicaltrials.gov/ct2/show/NCT00065611,Phase 3,Completed,8/1/2010
NCT00065741,,Botanical/Drug Interactions in HIV: Glucuronidation,https://www.clinicaltrials.gov/ct2/show/NCT00065741,Phase 1,Completed,3/1/2006
NCT00068107,,Dosing Study of Replagal in Patients With Fabry Disease,https://www.clinicaltrials.gov/ct2/show/NCT00068107,Phase 2,Completed,12/1/2013
NCT00068393,,Doxorubicin and Gemcitabine in Treating Patients With Locally Recurrent or Metastatic Unresectable Renal Cell Carcinoma,https://www.clinicaltrials.gov/ct2/show/NCT00068393,Phase 2,Completed,5/1/2011
NCT00069160,,"Tariquidar and Docetaxel to Treat Patients With Lung, Ovarian, Renal and Cervical Cancer",https://www.clinicaltrials.gov/ct2/show/NCT00069160,Phase 2,Completed,12/1/2009
NCT00072917,,The Effects of Overfeeding on Obesity-Prone (OP) and Obesity-Resistant (OR) Women,https://www.clinicaltrials.gov/ct2/show/NCT00072917,,Completed,6/1/2008
NCT00073736,,Safety and Tolerability of I.V. Infusion of MB07133 in Patients With Unresectable Hepatocellular Carcinoma,https://www.clinicaltrials.gov/ct2/show/NCT00073736,Phase 1|Phase 2,Completed,
NCT00076466,,Brain Changes Associated With Learning a Motor Task,https://www.clinicaltrials.gov/ct2/show/NCT00076466,,Completed,1/14/2009
NCT00077233,,FOLFIRI or FOLFOX With or Without Cetuximab in Patients With Metastatic Adenocarcinoma of the Colon or Rectum,https://www.clinicaltrials.gov/ct2/show/NCT00077233,Phase 3,Terminated,6/1/2010
NCT00077350,,A Phase II Trial of Triapine (NSC #663249) in Combination With Gemcitabine as Second Line Treatment of Non-Small Cell Lung Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00077350,Phase 2,Completed,
NCT00085345,,"Melphalan, Arsenic Trioxide, and Ascorbic Acid in Treating Patients With Relapsed or Refractory Multiple Myeloma",https://www.clinicaltrials.gov/ct2/show/NCT00085345,Phase 2,Withdrawn,
NCT00090402,,Fish Oil and Alpha Lipoic Acid in Treating Alzheimer's Disease,https://www.clinicaltrials.gov/ct2/show/NCT00090402,Phase 1|Phase 2,Completed,8/1/2007
NCT00094510,,Effect of Gabapentin on GABA Concentration and Emotional Processing,https://www.clinicaltrials.gov/ct2/show/NCT00094510,,Completed,9/3/2010
NCT00094627,,Adult Primary Insomnia Polysomnographic Study (0928-004)(COMPLETED),https://www.clinicaltrials.gov/ct2/show/NCT00094627,Phase 3,Completed,4/1/2006
NCT00096434,,Sorafenib in Treating Patients With Metastatic Breast Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00096434,Phase 2,Completed,
NCT00097253,,The Effects of Smell on Mood and Physical Responses,https://www.clinicaltrials.gov/ct2/show/NCT00097253,Phase 1,Completed,3/1/2006
NCT00105664,C3P,Collaborative Cardiac Care Project,https://www.clinicaltrials.gov/ct2/show/NCT00105664,Not Applicable,Completed,7/1/2007
NCT00106080,,Improving the Quality of End-of-Life Communication for Patients With Chronic Obstructive Pulmonary Disease (COPD),https://www.clinicaltrials.gov/ct2/show/NCT00106080,Not Applicable,Completed,5/1/2008
NCT00108615,,Effects of Insulin Sensitizers in Subjects With Impaired Glucose Tolerance,https://www.clinicaltrials.gov/ct2/show/NCT00108615,Phase 4,Completed,12/1/2007
NCT00112736,,Erlotinib and Temsirolimus in Treating Patients With Recurrent Malignant Glioma,https://www.clinicaltrials.gov/ct2/show/NCT00112736,Phase 1|Phase 2,Completed,4/1/2014
NCT00113932,,UARK 2003-41: A Study of High-Dose Density Therapy in Patients With Multiple Myeloma,https://www.clinicaltrials.gov/ct2/show/NCT00113932,Phase 2,Completed,7/1/2010
NCT00115973,,A Study of the Treatment of Type 2 Diabetes With an Insulin Infusion Pump,https://www.clinicaltrials.gov/ct2/show/NCT00115973,Phase 1,Completed,1/1/2006
NCT00119548,,Improving HIV Screening With Nurse-Based Rapid Testing/Streamlined Counseling,https://www.clinicaltrials.gov/ct2/show/NCT00119548,Not Applicable,Completed,1/1/2007
NCT00123656,,"Comparison of Esomeprazole to Aerosolized, Swallowed Fluticasone for Eosinophilic Esophagitis",https://www.clinicaltrials.gov/ct2/show/NCT00123656,Phase 2,Completed,12/1/2006
NCT00127920,,"Pilot Study of Taxol, Carboplatin, and Bevacizumab in Advanced Stage Ovarian Carcinoma Patients",https://www.clinicaltrials.gov/ct2/show/NCT00127920,Phase 2,Completed,10/1/2012
NCT00131001,,CARMEDAS: Cost-Effectiveness Analysis of Imaging Strategies in Symptomatic Carotid Stenosis,https://www.clinicaltrials.gov/ct2/show/NCT00131001,Not Applicable,Unknown status,
NCT00137735,,Gabapentin for Carpal Tunnel Syndrome,https://www.clinicaltrials.gov/ct2/show/NCT00137735,Phase 3,Completed,12/1/2006
NCT00137826,,Bevacizumab (Avastin) and Erlotinib (Tarceva) in Previously Treated Mesothelioma,https://www.clinicaltrials.gov/ct2/show/NCT00137826,Phase 2,Completed,7/1/2009
NCT00139880,,"A Single Center, Randomized, Double-blind, Crossover Pilot Trial Comparing the Onset of Action of Parcopa™ With Sinemet® in Subjects With Stable Parkinson's Disease",https://www.clinicaltrials.gov/ct2/show/NCT00139880,Phase 3,Completed,8/1/2005
NCT00142454,,NY-ESO-1 Protein Vaccine With Imiquimod in Melanoma (Adjuvant Setting),https://www.clinicaltrials.gov/ct2/show/NCT00142454,Phase 1,Completed,4/25/2006
NCT00142688,,Examining Psychosocial Mediators of Exercise Behavior,https://www.clinicaltrials.gov/ct2/show/NCT00142688,Phase 1,Completed,7/1/2008
NCT00143286,,A 52-Week Multicenter Study Evaluating the Safety and Efficacy of Varenicline for the Maintenance of Smoking Cessation,https://www.clinicaltrials.gov/ct2/show/NCT00143286,Phase 3,Completed,3/1/2005
NCT00145067,,Osteoporosis Disease Management Demonstration Project (0000-040),https://www.clinicaltrials.gov/ct2/show/NCT00145067,Not Applicable,Completed,6/1/2006
NCT00146861,,LIFE Study - Limiting Chronotropic Incompetence for Pacemaker Recipients,https://www.clinicaltrials.gov/ct2/show/NCT00146861,Phase 4,Completed,1/1/2006
NCT00148993,,Allogeneic Tumor Cell Vaccination in Patients With Solid Tumors,https://www.clinicaltrials.gov/ct2/show/NCT00148993,Phase 1|Phase 2,Withdrawn,7/1/2005
NCT00149058,,Erythropoietin in Acute Myocardial Infarction,https://www.clinicaltrials.gov/ct2/show/NCT00149058,Phase 2,Unknown status,1/1/2008
NCT00157339,,Safety and Efficacy of Inhaled Insulin in Patients With Diabetes and Asthma or COPD,https://www.clinicaltrials.gov/ct2/show/NCT00157339,Phase 3,Completed,5/1/2008
NCT00157898,,A Study to Evaluate Ertapenem Versus It's Comparator in the Treatment of Complicated Intra-abdominal Infections in Adults (0826-050)(COMPLETED),https://www.clinicaltrials.gov/ct2/show/NCT00157898,Phase 4,Completed,9/1/2004
NCT00162955,,Prevention of CHOP-induced Chronic Cardiotoxicity,https://www.clinicaltrials.gov/ct2/show/NCT00162955,Phase 4,Completed,9/1/2010
NCT00175721,,"Trial Comparing Care in Multiple Clinics Versus Care in a Cardiac, Diabetes and Kidney Care Clinic",https://www.clinicaltrials.gov/ct2/show/NCT00175721,Not Applicable,Completed,1/1/2013
NCT00178191,,Randomized Trial for Botox Urinary Incontinence,https://www.clinicaltrials.gov/ct2/show/NCT00178191,Not Applicable,Completed,7/1/2008
NCT00178646,,Comparative Efficacy of Three Preparations of Botox-A in Treating Spasticity,https://www.clinicaltrials.gov/ct2/show/NCT00178646,Phase 4,Completed,3/1/2010
NCT00179621,,Lenalidomide Versus Placebo in Myelodysplastic Syndromes With a Deletion 5q[31] Abnormality,https://www.clinicaltrials.gov/ct2/show/NCT00179621,Phase 3,Completed,6/1/2010
NCT00186121,,Estradiol Suppression for the Treatment of Metastatic Breast Cancer in Premenopausal Women,https://www.clinicaltrials.gov/ct2/show/NCT00186121,Phase 2,Completed,6/1/2013
NCT00192829,,Hypercoagulable Parameters as Predictors of Thrombotic Events and Prognosis in Patients With Advanced Non-Small Cell Lung Carcinoma,https://www.clinicaltrials.gov/ct2/show/NCT00192829,,Unknown status,
NCT00195754,,"A Phase III Open-Label, Multi-Center, Long-Term Extension Study of Depakote ER in Subjects Who Either Completed or Prematurely Discontinued Due to Ineffectiveness From Study M02-488.",https://www.clinicaltrials.gov/ct2/show/NCT00195754,Phase 3,Completed,
NCT00197015,,Immunogenicity & Safety of Hepatitis A Vaccine Co-admin With a Measles/Mumps/Rubella & a Varicella Vaccine in Children,https://www.clinicaltrials.gov/ct2/show/NCT00197015,Phase 3,Completed,6/9/2009
NCT00197405,,Comparison of Fecal Ribonucleic Acid (RNA) Test With Fecal Occult Blood Test (FOBT) for Detecting Colorectal Cancer and Adenoma,https://www.clinicaltrials.gov/ct2/show/NCT00197405,,Unknown status,12/1/2010
NCT00210197,EHC,Hypercoagulability After Breast Cancer Surgery,https://www.clinicaltrials.gov/ct2/show/NCT00210197,,Completed,1/1/2006
NCT00213642,,Tc-99m Renography and Cisplatin-induced Nephrotoxicity,https://www.clinicaltrials.gov/ct2/show/NCT00213642,,Terminated,8/1/2004
NCT00216502,,A Study of the Safety and Effectiveness of Galantamine in Patients With Alzheimer's Disease,https://www.clinicaltrials.gov/ct2/show/NCT00216502,Phase 3,Completed,11/1/2005
NCT00221143,,Stem Cell Study for Patients With Leg Ulcer/Gangrene,https://www.clinicaltrials.gov/ct2/show/NCT00221143,Phase 1|Phase 2,Completed,1/1/2008
NCT00224081,DRIVE,DRIVE Trial (Dialysis Patients' Response to Intravenous [IV] Iron With Elevated Ferritin),https://www.clinicaltrials.gov/ct2/show/NCT00224081,Phase 4,Completed,
NCT00227825,,"The Aim of This Study is to Determine the Effectiveness of a Motivational Enhancement Intervention in Reducing Risk Behaviors (Drug and Alcohol Use, Sexual Risk Behavior, Poor Adherence to Medications) Among HIV+ Youth. - 1",https://www.clinicaltrials.gov/ct2/show/NCT00227825,Phase 2,Unknown status,8/1/2005
NCT00231231,,Carotid Artery Stenting With Emboli Protection Surveillance-Post-Marketing Study (CASES-PMS),https://www.clinicaltrials.gov/ct2/show/NCT00231231,Phase 3,Completed,11/1/2006
NCT00234364,,Pergolide Treatment and Valvular Heart Disease,https://www.clinicaltrials.gov/ct2/show/NCT00234364,,Completed,9/1/2007
NCT00234715,,Psychosocial Study on Breast Cancer Risk Assessment,https://www.clinicaltrials.gov/ct2/show/NCT00234715,,Completed,8/1/2006
NCT00237458,,An Open-label Continuation Trial to Assess the Continued Efficacy and Safety of Ascending Doses of Lacosamide in Subjects With Chronic Refractory Neuropathic Pain,https://www.clinicaltrials.gov/ct2/show/NCT00237458,Phase 2,Completed,3/1/2011
NCT00237978,,Control of Therapy of Acne Papulopustulosa by Visible Light With Waterfiltered Infrared and / or Adapalen (Differin Gel),https://www.clinicaltrials.gov/ct2/show/NCT00237978,Phase 4,Unknown status,9/1/2009
NCT00245765,,Efficacy Study of CDP870 in Subjects With Chronic Plaque Psoriasis Who Are Candidate for Systemic Therapy and/or Phototherapy/Photochemotherapy,https://www.clinicaltrials.gov/ct2/show/NCT00245765,Phase 2,Completed,11/1/2006
NCT00246181,SBF-NSCLC,Phase I and II Study Of Stereotactic Body Radiotherapy in Medically Unresectable Patients With Stage 1 NSCLC,https://www.clinicaltrials.gov/ct2/show/NCT00246181,Phase 1|Phase 2,Completed,8/1/2012
NCT00247169,,Vaginal Progesterone in the Treatment of Cervical Dysplasia Grade I and II,https://www.clinicaltrials.gov/ct2/show/NCT00247169,Phase 2,Completed,4/1/2010
NCT00250367,,"A Study of the Effectiveness and Safety of Risperidone Versus Placebo as add-on Therapy to Mood Stabilizers, in the Treatment of Manic Episodes Associated With Bipolar Disorder.",https://www.clinicaltrials.gov/ct2/show/NCT00250367,Phase 3,Completed,11/1/1999
NCT00254462,,Atomoxetine for Treating Attention Deficit Hyperactivity Disorder in Young Children,https://www.clinicaltrials.gov/ct2/show/NCT00254462,Phase 4,Completed,9/1/2008
NCT00257582,,Study Of Cutaneous Disease Accompanied With Pruritus In Pediatrics,https://www.clinicaltrials.gov/ct2/show/NCT00257582,Phase 3,Completed,
NCT00257712,,"SMART: Somatotrophics, Memory, and Aging Research Trial",https://www.clinicaltrials.gov/ct2/show/NCT00257712,Phase 2,Completed,12/1/2011
NCT00261469,,"An Open-label Study to Evaluate Topiramate Therapy in Migraine Patients, and Its Effects on Subject Responsiveness to Migraine Treatment With Triptans",https://www.clinicaltrials.gov/ct2/show/NCT00261469,Phase 2,Completed,11/1/2004
NCT00262574,,Effect of BNP (Brain Natriuretic Peptides) on Endothelial Dysfunction Induced by Coronary Angioplasty,https://www.clinicaltrials.gov/ct2/show/NCT00262574,Phase 4,Unknown status,6/1/2013
NCT00263367,,Effect of Hyperbaric Therapy on Markers of Oxidative Stress in Children With Autism,https://www.clinicaltrials.gov/ct2/show/NCT00263367,Not Applicable,Completed,2/1/2006
NCT00269490,,Yoga as a Therapy for Traumatic Experiences,https://www.clinicaltrials.gov/ct2/show/NCT00269490,,Completed,8/1/2007
NCT00269789,,"A Comparative Effectiveness Study Evaluating OROS Methylphenidate HCl, Ritalin (Methylphenidate HCl), and Placebo for the Treatment of Attention Deficit Hyperactivity Disorder in Children",https://www.clinicaltrials.gov/ct2/show/NCT00269789,Phase 3,Completed,5/1/1998
NCT00270400,,A Safety Study Comparing Natrecor (Nesiritide) Versus Dobutamine Therapy for Worsening Congestive Heart Failure,https://www.clinicaltrials.gov/ct2/show/NCT00270400,Phase 3,Completed,2/1/1999
NCT00270491,,Capecitabine Associated With Weekly Paclitaxel in Metastatic Breast Cancer.,https://www.clinicaltrials.gov/ct2/show/NCT00270491,Phase 2,Completed,10/1/2010
NCT00271115,,Kangaroo Holding and Maternal Stress,https://www.clinicaltrials.gov/ct2/show/NCT00271115,Not Applicable,Completed,1/1/2008
NCT00274131,,Long-term Administration Study of SND 919 Tablets in Parkinson's Disease,https://www.clinicaltrials.gov/ct2/show/NCT00274131,Phase 3,Completed,2/1/2004
NCT00278551,,Stem Cell Support in Patients With Rheumatoid Arthritis,https://www.clinicaltrials.gov/ct2/show/NCT00278551,Phase 1,Terminated,11/1/2011
NCT00278993,,Evaluating E7389 in Patients With Hormone Refractory Prostate Cancer With Advanced and/or Metastatic Disease Stratified by Prior Chemotherapy,https://www.clinicaltrials.gov/ct2/show/NCT00278993,Phase 2,Completed,1/1/2008
NCT00282542,,Hepatocyte Transplantation as a Life Support Bridge,https://www.clinicaltrials.gov/ct2/show/NCT00282542,Not Applicable,Withdrawn,1/1/2006
NCT00286507,FILMS,Full Thickness Macular Hole and Internal Limiting Membrane Peeling Study,https://www.clinicaltrials.gov/ct2/show/NCT00286507,Not Applicable,Completed,9/1/2011
NCT00288860,TCM-PTSD,Telephone Case Monitoring (TCM) for Veterans With Post-Traumatic Stress Disorder (PTSD),https://www.clinicaltrials.gov/ct2/show/NCT00288860,Not Applicable,Completed,12/1/2011
NCT00293098,,Compassionate Use of Deferiprone for Patients With Thalassemia and Iron-Induced Heart Disease,https://www.clinicaltrials.gov/ct2/show/NCT00293098,,Approved for marketing,
NCT00295984,,Nicotine Skin Patch in Treating Patients With Kaposi's Sarcoma,https://www.clinicaltrials.gov/ct2/show/NCT00295984,Phase 2,Completed,8/1/2006
NCT00296049,,Daptomycin or Vancomycin in Treating Bacteria in the Blood in Patients With Neutropenia Caused By Chemotherapy,https://www.clinicaltrials.gov/ct2/show/NCT00296049,Not Applicable,Withdrawn,3/1/2006
NCT00298064,,Assessment of EGFR Genomic Alterations as Prognostic Markers in Cervical Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00298064,Not Applicable,Completed,2/1/2008
NCT00299650,,Systematic Early Use of Neuromuscular Blocking Agents in ARDS Patients,https://www.clinicaltrials.gov/ct2/show/NCT00299650,Phase 4,Completed,10/1/2008
NCT00300742,,Topiramate for the Treatment of Alcohol Dependent Binge-Eating Disordered Individuals,https://www.clinicaltrials.gov/ct2/show/NCT00300742,Phase 2,Completed,7/1/2008
NCT00306345,,Outreach: A Programme for Timely Treatment of Critically Ill Patients in a University Hospital,https://www.clinicaltrials.gov/ct2/show/NCT00306345,,Unknown status,12/1/2008
NCT00307294,,Thalidomide and Doxil® in Patients With Androgen Independent Prostate Cancer (AIPC),https://www.clinicaltrials.gov/ct2/show/NCT00307294,Phase 2,Completed,1/1/2012
NCT00308256,,Effects of Nurse-counselling in the Improvement of the type1 Diabetes Control in Adolescents,https://www.clinicaltrials.gov/ct2/show/NCT00308256,Not Applicable,Completed,8/1/2011
NCT00309595,SIT-UP,The Study to Compare SMART Nitinol Stent and Balloon Angioplasty,https://www.clinicaltrials.gov/ct2/show/NCT00309595,Phase 4,Completed,5/1/2009
NCT00310960,,"An Observational Study of Infantile, Acquired Non-accommodative, and Acquired Partially-accommodative Esotropia",https://www.clinicaltrials.gov/ct2/show/NCT00310960,,Completed,5/1/2008
NCT00311376,,Safety and Efficacy Study of Botulinum Toxin Type A for the Treatment of Neurogenic Overactive Bladder,https://www.clinicaltrials.gov/ct2/show/NCT00311376,Phase 3,Completed,5/1/2010
NCT00312299,,Posterior Capsule Opacification Study,https://www.clinicaltrials.gov/ct2/show/NCT00312299,Phase 4,Completed,1/1/2012
NCT00312988,,Topotecan Vs. Topotecan + Etoposide Vs.Topotecan + Gemcitabine in Ovarian Cancer Therapy,https://www.clinicaltrials.gov/ct2/show/NCT00312988,Phase 3,Completed,12/1/2009
NCT00313768,,Randomized Ph 2 Trial Of Paclitaxel/Carboplatin /Bevacizumab + PF-3512676 And P/C/B Alone In Advanced Nonsquamous NSCLC,https://www.clinicaltrials.gov/ct2/show/NCT00313768,Phase 2,Terminated,5/1/2008
NCT00314379,,Endothelial Function in a Sample Group of Patients From the ICARE Study,https://www.clinicaltrials.gov/ct2/show/NCT00314379,Phase 2|Phase 3,Completed,12/1/2007
NCT00318331,,Enteral Glutamine in Critical Illness,https://www.clinicaltrials.gov/ct2/show/NCT00318331,Phase 2|Phase 3,Terminated,9/1/2007
NCT00319397,,Effects of Age and Exercise on Blood Pressure Regulation,https://www.clinicaltrials.gov/ct2/show/NCT00319397,,Unknown status,3/1/2007
NCT00321828,,Combination Chemotherapy and Bevacizumab in Treating Patients With Stage IV Colon Cancer That Cannot Be Removed By Surgery,https://www.clinicaltrials.gov/ct2/show/NCT00321828,Phase 2,Completed,12/1/2012
NCT00322127,,An Evaluation of Safety and Efficacy of Escalating Doses of AMD3100 to Mobilize CD34+ Cells in Healthy Volunteers,https://www.clinicaltrials.gov/ct2/show/NCT00322127,Phase 1,Completed,1/23/2015
NCT00324116,,Evaluation Of Safety And Efficacy Of 0.3 Mg/Eye Macugen In Patients With Small Age-Related Macular Degeneration Lesions,https://www.clinicaltrials.gov/ct2/show/NCT00324116,Phase 4,Completed,8/1/2008
